S3 Table. Full list of DEGs identified in vEDS patients' skin fibroblasts.						
Column #	Transcript ID	gene_assignment	Gene Symbol	RefSeq	p-value adjusted (FDR 5%)	Fold-Change 
10989	7964460	NM_001195053 // DDIT3 // DNA-damage-inducible transcript 3 // 12q13.1-q13.2 // 1649 ///	DDIT3	NM_001195053	8.19E-05	-2.0258
24153	8097056	"NR_002963 // SNORA24 // small nucleolar RNA, H/ACA box 24 // 4q26 // 677809 /// ENST000"	SNORA24	NR_002963	0.00315773	-2.02304
11235	7967030	"NR_003925 // RNU4-1 // RNA, U4 small nuclear 1 // 12q24.31 // 26835 /// ENST00000363925"	RNU4-1	NR_003925	0.00502173	-2.01159
5214	7906574	NR_002190 // SUMO1P3 // SUMO1 pseudogene 3 (functional) // 1q22 // 474338 /// uc001fvw.	SUMO1P3	NR_002190	0.000768964	-2.00889
23376	8089372	NM_020890 // KIAA1524 // KIAA1524 // 3q13.13 // 57650 /// XM_006713716 // KIAA1524 // K	KIAA1524	NM_020890	0.00626004	-2.00747
31419	8165723	NM_000451 // SHOX // short stature homeobox // Xp22.33;Yp11.3 // 6473 /// NM_006883 // 	SHOX	NM_000451	0.000707208	-2.00337
31216	8163672	NR_103711 // PAPPA-AS1 // PAPPA antisense RNA 1 // 9q33.2 // 493913 /// ENST00000445861	PAPPA-AS1	NR_103711	0.00524603	-2.00141
6250	7917532	"NM_004120 // GBP2 // guanylate binding protein 2, interferon-inducible // 1p22.2 // 263"	GBP2	NM_004120	0.000535828	-1.99702
24686	8101945	"NM_002106 // H2AFZ // H2A histone family, member Z // 4q24 // 3015 /// ENST00000296417 "	H2AFZ	NM_002106	0.000598182	-1.99683
25483	8109639	NM_001282382 // PTTG1 // pituitary tumor-transforming 1 // 5q35.1 // 9232 /// NM_001282	PTTG1	NM_001282382	0.0110938	-1.99529
28716	8140151	NM_001278791 // RFC2 // replication factor C subunit 2 // 7q11.23 // 5982 /// NM_001278	RFC2	NM_001278791	3.51E-05	-1.99422
25110	8105828	NM_031966 // CCNB1 // cyclin B1 // 5q12 // 891 /// ENST00000256442 // CCNB1 // cyclin B	CCNB1	NM_031966	0.00504367	-1.99294
11424	7969114	"NM_001160308 // SETDB2 // SET domain, bifurcated 2 // 13q14 // 83852 /// NM_031915 // S"	SETDB2	NM_001160308	0.000630092	-1.99108
18536	8040223	NM_001034 // RRM2 // ribonucleotide reductase M2 // 2p25-p24 // 6241 /// NM_001165931 /	RRM2	NM_001034	0.0018757	-1.98757
11072	7965200	NM_014167 // CCDC59 // coiled-coil domain containing 59 // 12q21.31 // 29080 /// NR_033	CCDC59	NM_014167	8.15E-06	-1.98388
25253	8107321	NR_015370 // EPB41L4A-AS1 // EPB41L4A antisense RNA 1 // 5q22.2 // 114915 /// AB048207 	EPB41L4A-AS1	NR_015370	3.83E-06	-1.98235
24533	8100495	NM_002703 // PPAT // phosphoribosyl pyrophosphate amidotransferase // 4q12 // 5471 /// 	PPAT	NM_002703	7.43E-06	-1.9794
9480	7948904	"NR_002562 // SNORD28 // small nucleolar RNA, C/D box 28 // 11q13 // 9300 /// ENST000003"	SNORD28	NR_002562	0.00077352	-1.97472
18688	8041867	NM_000251 // MSH2 // mutS homolog 2 // 2p21 // 4436 /// NM_001258281 // MSH2 // mutS ho	MSH2	NM_000251	0.000141882	-1.97202
15841	8013671	NM_006461 // SPAG5 // sperm associated antigen 5 // 17q11.2 // 10615 /// ENST0000032176	SPAG5	NM_006461	0.00800451	-1.96859
